Университет,55.69244,37.534532,subway,1,10,true
Юго-Западная,55.44155,37.289229,subway,1,10,true
Домодедовская,55.6697,37.717905,subway,1,3,true
Кантемировская,55.6367,37.656218,subway,1,3,true
Автозаводская,55.706634,37.657008,subway,1,3,true
Театральная,55.758808,37.61768,subway,1,3,true
Маяковская,55.769808,37.596192,subway,1,3,true
Аэропорт,55.800261,37.53287,subway,1,3,true
Водный стадион,55.840209,37.486616,subway,1,3,true
Щёлковская,55.8228,37.798556,subway,1,1,true
Партизанская,55.788424,37.749265,subway,1,1,true
Электрозаводская,55.782066,37.705284,subway,1,1,true
Площадь Революции,55.756756,37.622774,subway,1,1,true
Киевская,55.743117,37.564132,subway,1,1,true
Славянский бульвар,55.729828,37.472171,subway,1,1,true
Крылатское,55.756842,37.408139,subway,1,1,true
Волоколамская,55.835508,37.382034,subway,1,1,true
Митино,55.846098,37.36122,subway,1,1,true
Филевский парк,55.739519,37.483328,subway,1,12,true
Кутузовская,55.740178,37.534236,subway,1,12,true
Смоленская,55.74906,37.581658,subway,1,12,true
Парк культуры,55.73515,37.592905,subway,1,7,true
Павелецкая,55.731536,37.636329,subway,1,7,true
Комсомольская,55.775672,37.654772,subway,1,7,true
Каширская,55.44155,37.289229,subway,1,6,true
Киевская,55.744596,37.567545,subway,1,7,true
Бабушкинская,55.869794,37.664581,subway,1,5,true
ВДНХ,55.821401,37.649,subway,1,5,true
Рижская,55.792513,37.636123,subway,1,5,true
Тургеневская,55.765276,37.636742,subway,1,5,true
Третьяковская,55.740319,37.625981,subway,1,5,true
Ленинский проспект,55.707689,37.586239,subway,1,5,true
Новые Черёмушки,55.44155,37.289229,subway,1,5,true
Коньково,55.44155,37.289229,subway,1,5,true
Ясенево,55.44155,37.289229,subway,1,5,true
Щукинская,55.808827,37.463772,subway,1,11,true
Полежаевская,55.777201,37.517895,subway,1,11,true
Улица 1905 года,55.764273,37.561419,subway,1,11,true
Кузнецкий мост,55.761598,37.62378,subway,1,11,true
Таганская,55.739199,37.653613,subway,1,11,true
Волгоградский проспект,55.7249,37.6872,subway,1,11,true
Рязанский проспект,55.717366,37.793606,subway,1,11,true
Шоссе Энтузиастов,55.758255,37.751583,subway,1,4,true
Марксистская,55.740993,37.656802,subway,1,4,true
Алтуфьево,55.898376,37.587344,subway,1,9,true
Отрадное,55.863384,37.604843,subway,1,9,true
Петровско-Разумовская,55.836524,37.575558,subway,1,9,true
Савёловская,55.793313,37.588296,subway,1,9,true
Чеховская,55.765843,37.608167,subway,1,9,true
Полянка,55.736807,37.618471,subway,1,9,true
